Número de documentos (tweets) del corpus: 15398
Número de palabras del corpus: 201117
Palabra: caution Frec: 7 lnProb: -10.25
Palabra: cautious Frec: 12 lnProb: -9.77
Palabra: cdnpoli Frec: 15 lnProb: -9.56
Palabra: ceiling Frec: 6 lnProb: -10.39
Palabra: cells Frec: 6 lnProb: -10.39
Palabra: cent Frec: 26 lnProb: -9.04
Palabra: center Frec: 9 lnProb: -10.03
Palabra: centers Frec: 13 lnProb: -9.69
Palabra: central Frec: 12 lnProb: -9.77
Palabra: centre Frec: 13 lnProb: -9.69
Palabra: centres Frec: 8 lnProb: -10.13
Palabra: cents Frec: 31 lnProb: -8.87
Palabra: certain Frec: 29 lnProb: -8.93
Palabra: certainly Frec: 14 lnProb: -9.62
Palabra: chain Frec: 238 lnProb: -6.85
Palabra: chains Frec: 117 lnProb: -7.56
Palabra: challenge Frec: 26 lnProb: -9.04
Palabra: challenges Frec: 48 lnProb: -8.44
Palabra: challenging Frec: 16 lnProb: -9.5
Palabra: chance Frec: 36 lnProb: -8.72
Palabra: chances Frec: 10 lnProb: -9.93
Palabra: change Frec: 122 lnProb: -7.52
Palabra: changed Frec: 55 lnProb: -8.31
Palabra: changes Frec: 67 lnProb: -8.11
Palabra: changing Frec: 43 lnProb: -8.55
Palabra: channel Frec: 12 lnProb: -9.77
Palabra: channels Frec: 8 lnProb: -10.13
Palabra: chaos Frec: 58 lnProb: -8.25
Palabra: chaotic Frec: 8 lnProb: -10.13
Palabra: charge Frec: 50 lnProb: -8.4
Palabra: charged Frec: 58 lnProb: -8.25
Palabra: charges Frec: 28 lnProb: -8.96
Palabra: charging Frec: 28 lnProb: -8.96
Palabra: charities Frec: 19 lnProb: -9.34
Palabra: charity Frec: 11 lnProb: -9.85
Palabra: charmin Frec: 7 lnProb: -10.25
Palabra: chart Frec: 7 lnProb: -10.25
Palabra: charts Frec: 9 lnProb: -10.03
Palabra: chasing Frec: 6 lnProb: -10.39
Palabra: chat Frec: 10 lnProb: -9.93
Palabra: cheap Frec: 42 lnProb: -8.57
Palabra: cheaper Frec: 13 lnProb: -9.69
Palabra: cheapest Frec: 8 lnProb: -10.13
Palabra: cheat Frec: 12 lnProb: -9.77
